,ADJUSTED_ONTIME_COUNT,Ontime Count,ADJUSTED_EARLY_COUNT,Early Count,ADJUSTED_LATE_COUNT,Late Count
0,1,135634,0,160052,0,145099
1,0,28902,1,4484,1,19437
