,ADJUSTED_ONTIME_COUNT,Ontime Count,ADJUSTED_EARLY_COUNT,Early Count,ADJUSTED_LATE_COUNT,Late Count
0,1,134414,0,180502,0,146192
1,0,51379,1,5291,1,39601
